gene_id,mean_cpm_ground,mean_cpm_flight,n_ground,n_flight,log2fc_flight_vs_ground
AT2G02580,0.5114049085569845,2.675835649319161,18,18,1.28218205025368
AT5G22410,1.4117066853758176,4.857613317449139,18,18,1.2802585031396139
AT1G33055,39.46337191485588,96.76825047029301,18,18,1.2727494881669337
AT3G14440,10.149153099772866,25.886116707077814,18,18,1.2699272689527807
AT5G35190,1.3058603007265088,4.497038499222844,18,18,1.253349472758513
AT5G13080,5.536467699476088,14.52660446726981,18,18,1.2481592389424
AT1G29020,9.738516993155486,24.492193473468806,18,18,1.2472607467410926
AT5G22270,1.6626571184428007,5.320735689019653,18,18,1.2472258290944702
AT5G01210,8.351714924357903,21.17437983135723,18,18,1.2455908992318059
AT2G33830,946.4796599115232,2231.3624269107563,18,18,1.2364043920094097
AT1G16260,0.8223504626161227,3.291307724573984,18,18,1.235616923170606
AT3G55970,1.8967836689750643,5.812663745530318,18,18,1.233767052483893
AT5G43450,1.2611928713451168,4.317427034204925,18,18,1.23364427778267
AT1G11210,2.693313115783508,7.6789961057458545,18,18,1.23261259852939
AT1G33030,2.2096320139442014,6.528775272410538,18,18,1.2300072955623689
AT4G13195,9.725163478695915,24.096508408994044,18,18,1.2264870227078086
AT1G49860,43.814267978391975,103.61743377482335,18,18,1.2230932506547378
AT5G48175,5.832694624750589,14.90517097904806,18,18,1.2189693261400878
AT1G72060,12.374081315304132,30.058045178668976,18,18,1.2155272339177947
AT3G16770,12.024739135554068,29.22359239364626,18,18,1.2144206723140616
AT2G24980,4.585203634564625,11.930709276491699,18,18,1.211119625228743
AT1G15625,21.526806607662422,51.02861081563751,18,18,1.2076623751876387
AT5G02230,2.539044319643627,7.167342925867751,18,18,1.206506975231281
AT3G59480,22.3695255840972,52.87478793229909,18,18,1.2049818385109556
AT1G69240,0.8483173115892728,3.248641076577412,18,18,1.2007890164988522
AT5G52670,14.903224033041433,35.506872139927204,18,18,1.198848795657524
AT5G22570,5.349441623147363,13.569159383467758,18,18,1.1982160082796638
AT4G12290,4.1245408085725375,10.7355343770686,18,18,1.1953888955383176
AT1G47510,3.5098480809004653,9.322056614032725,18,18,1.1945797079240263
AT4G31330,3.4479879994885683,9.167505803421996,18,18,1.1927410134235599
AT3G21510,19.003691577164005,44.60494519036398,18,18,1.1889240056522126
AT2G18370,13.294797681770044,31.567691573229688,18,18,1.1879512626067514
AT1G70810,4.825736957348762,12.267550419298537,18,18,1.1873895635360547
AT3G10450,4.577368258558447,11.697523029635292,18,18,1.1868906540966122
AT1G10070,8.806799249234972,21.296261053149788,18,18,1.1849475488261985
AT5G39610,0.7973133009980033,3.0788859052939426,18,18,1.1823332365647374
AT1G54950,4.0809273373276085,10.518002532541956,18,18,1.1807268070417594
AT4G30140,5.413895174699487,13.538724202766193,18,18,1.1806279954796715
AT3G49960,1.1343197027959362,3.83783722743709,18,18,1.1805859339078486
AT3G01420,22.454040971438264,51.9183765517122,18,18,1.173932292116271
AT5G10210,13.735205270031097,32.19134768246185,18,18,1.1715400507802756
AT5G49850,1.848037415763332,5.409754026264124,18,18,1.1703008949448206
AT1G15620,4.61691565480991,11.589570503449853,18,18,1.164379021694888
AT4G13310,9.291986094203013,22.037695354613362,18,18,1.1624749867268758
AT2G44080,10.921824772846708,25.67389067460172,18,18,1.1618231990421746
AT3G09390,79.042043859657,177.70825827332789,18,18,1.1587763923940282
AT1G06460,4.624772801703223,11.544407823368799,18,18,1.1571776392344932
AT1G79320,0.8570767240143768,3.137930549344346,18,18,1.15587601074925
AT2G02930,9.344236376583265,22.042302351594316,18,18,1.1554577281405454
